perch,止まり木
pile,積み重ね
clutter,散らかっているもの
remarkeble,注目すべき
significant,重要な
retail,を小売する
accomplish,達成する
distribution,分配
painstaking,骨身を惜しまない・勤勉な
assembly,集会
multinational,多国籍の
vast amount of,大量の
radically,根本的に
recognition,認識
scour,ごしごし磨く
precise,正確な
feed,食物を与える
cylindrical,円筒の
partly,一部分は
planar,平面の
spatula,へら
typically,一般的
acute,鋭い
eventually,結局
sophisticate,洗練させる
consum,消耗品
leap,跳躍
concern,関係する
transportation,運送
mandatory,義務的な
consequently,その結果として
cram,詰め込む
tremendous,ものすごい
emphasis,強調
discrimination,差別
otherwise,他の状態に、そうでなく
extraordinary,並外れた
Uranus,天王星
Nepture,海王星
billionth,10億分の1
shrink,縮ませる
adequately,適切に
moisture,湿気
absorb,吸収する
goosedown,羽毛
inspection,検査
administer,施行する
whereas,であるのに対し
albeit,たとえーでも
composition,作文
applicant,志願者
govenor,州知事
racial,人種の
wage,賃金
expense,費やす
prosperous,繁栄する、富裕な
afford,余裕がある
caverns,洞窟
lava,溶岩
evidence,証拠
lunar,月
pristine,自然なまま
conduct,品行
combine,合成
aspire,志す
advantageous,有利な
crust,外皮でおおう
stable,安定した
subtrannean,地下
detect,看破
distinct,独特
correspond,二つのものが一致する
deficit,不足
reduce,削減
comprehensive,包括的
tectonic,構造の
immense,巨大
continental,大陸の
subduction,沈む
beneath,ーのもとに
descendo into,下る
slab,平板
interpretation,解釈
boudary,境界
seismic wave,地震の波
lithosphere,岩盤
tomography,断層写真
intervention,介在、調停
whopping,大きな
publish,出版
acquire,得る
aformation,前述の
qualitify,量を定める
constrain,強いる
conscience,良心
estimate,見積もり
efficient,効率的
prospect,展望
prospector,試掘者
lavish,気前の良い
anonymity,無名のこと
compensation,償い
incentive,動機
acquisition,習得、獲得
intellectual,知性の
catalyst,触媒
candidate,候補者
compete,競争する
rational,理性のある
grasp,ぎゅっと掴む
intuitive,直感の
attractive,惹きつける
undervalue,軽視する
alleviate,楽にする、緩和する
prominent,卓越した
represent,代表する
ripple,さざなみ
indicate,示す
occupation,職業
peep,のぞく
deluge,大洪水
monumental,記念碑の
inscribe,刻む
inspect,詳しく調べる
coy,恥ずかしがる振り、いやに無口な
flirty,ちゃらつく
sloppy,だらしない
convince,確信させる
bondage,束縛
voyeuristic,覗き見
entice,そそのかしてーさせる
formidable,おそるべき、手強い
spur,刺激
abuse,乱用する
exploitation,開拓、搾取
exhibit,展示する
canister,小さな缶
scent,臭い、嗅覚
distinguish,識別する
indistinguishable,区別がつかない
intellect,知性
fascinate,魅惑する
empathy,共感
genitals,生殖器の
jerk,反射運動
noneducational,教育的でない
indeed,実際に
suffer,苦しむ
latrines,便所
confront,直面する
arise,起こる、発生する
commission,痛く
consent,同意する
harsher,耳障り
assimilate,吸収する、消化する
consititute,構成する
accuse,告発する
prompt,迅速な
obsolete,廃れた
jumble,ごちゃまぜにする
distorted,歪められた
incorporated,合体させる
corporate,合体の
generalize,一般論を述べる
parse,解剖する
assumption,事実だと仮定すること
expose,晒す
contoure,輪郭
frighten,怖がらせる
practically,実際に
exproit,偉業
aggrive,苦しめる
opress,支配、圧迫
ridicule,あざけり
coast,海岸線
summarize,要約する
